(0) init_Lambda2,(1) init_Lambda3
0.0610627110189878,0.1157143484177004
0.08630485331882504,0.0690370801610351
0.4822216013897294,0.0022401027666655304
0.14146771978711914,0.04069180766232533
0.2830940686726463,0.019612113889814042
0.17157782494678053,0.035108750293769586
0.33520941887089695,0.04780050501528177
0.09566430800258213,0.0773097299045169
0.0885368714070251,0.07162936970329581
0.24622058991190243,0.029872784469573366
0.01226786137432262,0.06309165116122822
0.2677692880862286,0.08321904963922899
0.3811325130726024,0.021184560776169536
0.11735147931362788,0.0075227171777921265
0.029245685189651427,0.0020025362677339453
0.0977545380236946,0.12563013772437664
0.16835236157383288,0.07395124565090533
0.3757645284596342,0.028522378079905042
0.4342691982677778,1.0729203842596569e-06
0.3945189294871791,0.012280639905875135
0.11014133390203595,0.057857360249680134
0.1873038139378011,0.055315282601394344
0.1981351093140596,0.0420434229098432
0.29091415705232404,0.022388220124673563
0.38200873638636346,0.027159018990523254
0.30937384831198533,0.053219658954949345
0.23441389510887128,0.04529077221578148
0.09007506325651227,0.026533380481828905
0.3926032216575255,0.04745340563157868
0.2083953120058742,0.10593195169305475
0.12021189355679279,0.06835155943136889
0.04592266623034813,0.14792205521460033
0.1902869804940452,0.017017258485839515
0.11501430148707509,0.05082241610203614
0.10565169648422207,0.1328145654511636
0.062210606430632476,0.05335838590767478
0.14724888742577147,0.02525450281465702
0.17581266368888054,0.016581080271129478
0.3305238996329179,0.06681157925903725
0.1279281601092897,0.08129971139743042
0.010964306643505506,0.04195155569196163
0.29151198116459326,0.0802147834197125
0.11069651382302365,0.0872029608997667
0.15186739692066503,0.03670657333118155
0.27698091579800516,0.0036312183995535485
0.04578456785789686,0.03126767011865883
0.014491796337038954,0.08489326983804346
0.08448407130699881,0.0312005149578522
0.1770511466989711,0.08506150803480078
0.1340302783017704,0.03860213914216837
0.22438490373966907,0.05703810893559297
0.1686697631629318,0.0049441545268453235
0.15371265304900983,0.10818998364653742
0.11189500616688242,0.038837654390860454
0.38004084080750034,0.022460378523495805
0.42904389775525076,0.012007990358623488
0.41961432139101595,0.02234863104493623
0.19166740911934155,0.10795899927434721
0.36412392995824067,0.054983935962775954
0.3098436352069679,0.004193716113971235
0.12211522625071464,0.11371829215413909
0.2572622796614457,0.012503085083777898
0.07936671958945923,0.009002176703184817
0.1298172464533356,0.013496210308370282
0.04656323714227023,0.13785078883551027
0.005082446646679173,0.0317635320238393
0.1408499146165506,0.0015886476960604856
0.15694608908924673,0.0093218850313172
0.1784690886634276,0.05424155469100567
0.011089050437777914,0.010901879726294028
0.27824630191391797,0.028208036871991027
0.2222279639430278,0.058513475778359136
0.10823043939387356,0.0030116399334608746
0.3720296515272136,0.003721742161528263
0.034717858368078724,0.1205678347507641
0.3138014126442773,0.012973422143337354
0.3092080296635572,0.07344299392396125
0.2473307537034028,0.09403350618003642
0.4612844797313788,0.0018038618457156819
0.21681512293386884,0.024419702236621432
0.29798410950808657,0.005958997127476773
0.07331810589728427,0.09406062263599596
0.376353359103263,0.043034379425019476
0.14895937153023292,0.08667990735500358
0.41015457252050935,0.044267136886104896
0.3194329312300481,0.06603483922623704
0.3325715119225754,0.044740741920395344
0.14470415726387315,0.07155908448356996
0.23660735074858008,0.050748855314213415
0.193263116008127,0.05133364248280242
0.0517091487957439,0.049801343109524665
0.23245247188671397,0.0178213252558026
0.01402037814449214,0.01905827342975791
0.3633680768752561,0.028123992174832968
0.4113546067556661,0.011660138105160311
0.1324413162838326,0.12431784226157594
0.06284472897263205,0.1431841326361113
0.08173140005655372,0.10692286329084177
0.3139260143194887,0.005779093950566583
0.2089128494043398,0.05430267236641367
0.24940169565034392,0.07685074844639045
0.25287637228011367,0.018413530434479075
0.35410291463559873,0.017646581362548763
0.32804351564773976,0.04941448120423941
0.1690997692260841,0.014355599849251277
0.32792982826909434,0.0015663224024352607
0.019165289624516357,0.10412948742456696
0.2761606999053386,0.03092425595283127
0.01659473500061659,0.008262330087684233
0.053783653686088895,0.11171890385133432
0.3193636317798285,0.014150462832492439
0.04838906603903409,0.03321895452580581
0.3253991344880503,0.0697942415924721
0.1633863540008494,0.008131561077717842
0.3119139634672851,0.017249868146791136
0.28672585278595314,0.020203115832306606
0.002277894441640893,0.09868380803888188
0.23343863087978278,0.04320762069507883
0.13096388581141388,0.07568855314220602
0.07291954303867165,0.10467280444910859
0.1396388085289626,0.04618973029914131
0.36264798674012083,0.04617597762890463
0.13829009745470316,0.07329190443720046
0.37125357939262,0.006345518260401528
0.3534616162667444,0.06737394558941145
0.3445530767077456,0.05371605091953613
0.35658866204554135,0.050717816565892526
